~	〜
.	。
,	、
/	・
d/	・
d;	；
d.	…
d,	‥
k/		／
ddh	←
ddj	↓
ddk	↑
ddl	→
d-	〜
[	「
]	」
ld	「
lk	」
d[	『
d]	』
kf	あ
i	い
j	う
kr	え
kw	お
s	か
w	き
h	く
kc	け
x	こ
b	さ
e	し
a	す
di	せ
q	そ
g	た
z	ち
dm	つ
r	て
f	と
v	な
c	に
dp	ぬ
ka	ね
n	の
t	は
dn	ひ
du	ふ
dy	へ
kv	ほ
dj	ま
ke	み
kb	む
kt	め
dk	も
dh	や
do	ゆ
dl	よ
kd	ら
m	り
o	る
ks	れ
kx	ろ
kg	わ
kq	ゐ
kz	ゑ
y	を
u	ん
p	ー
df	ぁ
ki	ぃ
kj	ぅ
dr	ぇ
dw	ぉ
km	っ
kh	ゃ
ko	ゅ
kl	ょ
dg	ゎ
ds	ヵ
dc	ヶ
lj	ゔ
ls	が
lw	ぎ
lh	ぐ
lc	げ
lx	ご
lb	ざ
le	じ
la	ず
li	ぜ
lq	ぞ
lg	だ
lz	ぢ
lm	づ
lr	で
lf	ど
lt	ば
ln	び
lu	ぶ
ly	べ
lv	ぼ
dt	ぱ
kn	ぴ
ku	ぷ
ky	ぺ
dv	ぽ
lo	゛
de	゜
