q		だ
だe		ゑ
ゑs		だへ
だへe		ゑぷ
ゑぷs	だへへ
ゑぷf	だへぱ
だへf		ゑぼ
ゑぼe	だへぶ
ゑぼs	だへぐ
ゑf		だぱ
だぱe		ゑぶ
ゑぶs	だぱへ
ゑぶf	だぱぱ
だぱs		ゑぐ
ゑぐe	だぱぷ
ゑぐf	だぱぼ
だs		ゐ
ゐe		だぷ
だぷs		ゐへ
ゐへe	だぷぷ
ゐへf	だぷぼ
だぷf		ゐぱ
ゐぱe	だぷぶ
ゐぱs	だぷぐ
ゐf		だぼ
だぼe		ゐぶ
ゐぶs	だぼへ
ゐぶf	だぼぱ
だぼs		ゐぐ
ゐぐe	だぼぷ
ゐぐf	だぼぼ
だf		ゎ
ゎe		だぶ
だぶs		ゎへ
ゎへe	だぶぷ
ゎへf	だぶぼ
だぶf		ゎぱ
ゎぱe	だぶぶ
ゎぱs	だぶぐ
ゎs		だぐ
だぐe		ゎぷ
ゎぷs	だぐへ
ゎぷf	だぐぱ
だぐf		ゎぼ
ゎぼe	だぐぶ
ゎぼs	だぐぐ
w		か
かe		ふ
ふs		かへ
かへe		ふぷ
ふぷs	かへへ
ふぷf	かへぱ
かへf		ふぼ
ふぼe	かへぶ
ふぼs	かへぐ
ふf		かぱ
かぱe		ふぶ
ふぶs	かぱへ
ふぶf	かぱぱ
かぱs		ふぐ
ふぐe	かぱぷ
ふぐf	かぱぼ
かf		ほ
ほe		かぶ
かぶs		ほへ
ほへe	かぶぷ
ほへf	かぶぼ
かぶf		ほぱ
ほぱe	かぶぶ
ほぱs	かぶぐ
ほs		かぐ
かぐe		ほぷ
ほぷs	かぐへ
ほぷf	かぐぱ
かぐf		ほぼ
ほぼe	かぐぶ
ほぼs	かぐぐ
e		、
、s		へ
へe		、ぷ
、ぷs		へへ
へへe	、ぷぷ
へへf	、ぷぼ
、ぷf		へぱ
へぱe	、ぷぶ
へぱs	、ぷぐ
へf		、ぼ
、ぼe		へぶ
へぶs	、ぼへ
へぶf	、ぼぱ
、ぼs		へぐ
へぐe	、ぼぷ
へぐf	、ぼぼ
、f		ぱ
ぱe		、ぶ
、ぶs		ぱへ
ぱへe	、ぶぷ
ぱへf	、ぶぼ
、ぶf		ぱぱ
ぱぱe	、ぶぶ
ぱぱs	、ぶぐ
ぱs		、ぐ
、ぐe		ぱぷ
ぱぷs	、ぐへ
ぱぷf	、ぐぱ
、ぐf		ぱぼ
ぱぼe	、ぐぶ
ぱぼs	、ぐぐ
r		が
がe		ふぁ
ふぁs		がへ
がへe		ふぁぷ
ふぁぷs	がへへ
ふぁぷf	がへぱ
がへf		ふぁぼ
ふぁぼe	がへぶ
ふぁぼs	がへぐ
ふぁf		がぱ
がぱe		ふぁぶ
ふぁぶs	がぱへ
ふぁぶf	がぱぱ
がぱs		ふぁぐ
ふぁぐe	がぱぷ
ふぁぐf	がぱぼ
がs		ふぉ
ふぉe		がぷ
がぷs		ふぉへ
ふぉへe	がぷぷ
ふぉへf	がぷぼ
がぷf		ふぉぱ
ふぉぱe	がぷぶ
ふぉぱs	がぷぐ
ふぉf		がぼ
がぼe		ふぉぶ
ふぉぶs	がぼへ
ふぉぶf	がぼぱ
がぼs		ふぉぐ
ふぉぐe	がぼぷ
ふぉぐf	がぼぼ
がf		ふょ
ふょe		がぶ
がぶs		ふょへ
ふょへe	がぶぷ
ふょへf	がぶぼ
がぶf		ふょぱ
